seed,algorithm,success,path_length,turn_count,danger_cells,collision,running_time,expanded_nodes,total_cost,total_reward,final_success_rate,avg_reward_last_100,episodes,max_steps
7,A* (static),True,56,12,16,,0.03094935417175293,2795,76.0,,,,,
7,A* (replan),True,56,12,16,,0.054523468017578125,5487,,,,,,
7,Q-table (static),False,8,1,0,,0,,,-132.0,,,,
7,DQN (dynamic),False,17,0,5,False,0,,,,,,,
11,A* (static),True,60,10,17,,0.02863001823425293,3061,88.99999999999997,,,,,
11,A* (replan),True,60,10,17,,0.09436821937561035,9810,,,,,,
11,Q-table (static),False,18,2,0,,0,,,-167.0,,,,
11,DQN (dynamic),False,23,3,2,False,0,,,,,,,
21,A* (static),True,58,5,13,,0.022547245025634766,2334,71.19999999999997,,,,,
21,A* (replan),True,58,5,13,,0.05572676658630371,5600,,,,,,
21,Q-table (static),False,22,1,1,,0,,,-359.0,,,,
21,DQN (dynamic),False,42,0,3,False,0,,,,,,,
